CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
JDIKQ,ḰENNES,Undetermined,,Bight,Water Feature,BAY,0c8f005e849c20c3ac97b92c6cb33972,48.5897220,-123.4666670,Cowichan Land District,British Columbia,50000,2010-03-29,"British Columbia-Forests, Lands, Natural Resources"
JCXFN,'Adade Yus Mountain,Undetermined,,Mountain,Terrain Feature,MTN,0caa0cf0849c20c335efef86a2e3305d,55.2958330,-124.7230560,Cassiar Land District,British Columbia,250000,1979-11-13,"British Columbia-Forests, Lands, Natural Resources"
JDIEW,'Kluémt 15,Undetermined,,Indian Reserve,Administrative Area,IR,5a9c1c29ba3611d892e2080020a0f4c9,52.1998268,-128.1656897,Range 3 Coast Land District,British Columbia,50000,1998-03-19,Indigenous and Northern Affairs Canada
JALGL,'Ksan,Undetermined,,Locality,Populated Place,UNP,0c9027e6849c20c3b7699258af3d9233,55.2494440,-127.6797220,Cassiar Land District,British Columbia,250000,1976-02-10,"British Columbia-Forests, Lands, Natural Resources"
JCBMZ,100 Mile House,Undetermined,,District Municipality,Populated Place,MUN1,55c019dcd05511d892e2080020a0f4c9,51.6427780,-121.2955560,Lillooet Land District,British Columbia,7500000,1991-11-08,"British Columbia-Forests, Lands, Natural Resources"
JCBNA,101 Mile Lake,Undetermined,,Lake,Water Feature,LAKE,0ca65836849c20c3d2627b9483b60812,51.6675000,-121.2936110,Lillooet Land District,British Columbia,250000,1966-03-10,"British Columbia-Forests, Lands, Natural Resources"
JCBNB,103 Mile Lake,Undetermined,,Lake,Water Feature,LAKE,0ca658b9849c20c3347e0bd47e39dc47,51.6850000,-121.2986110,Lillooet Land District,British Columbia,250000,1955-03-03,"British Columbia-Forests, Lands, Natural Resources"
JCBNC,105 Mile House,Undetermined,,Locality,Populated Place,UNP,0ca65877849c20c333a019440cff97f9,51.7000000,-121.3166700,Lillooet Land District,British Columbia,250000,1969-08-12,"British Columbia-Forests, Lands, Natural Resources"
JCBND,105 Mile Lake,Undetermined,,Lake,Water Feature,LAKE,0ca6594c849c20c36a26cde5c083271e,51.7144440,-121.3288890,Lillooet Land District,British Columbia,250000,1955-03-03,"British Columbia-Forests, Lands, Natural Resources"
JDLGG,105 Mile Post 2,Undetermined,,Indian Reserve,Administrative Area,IR,1fea03d7ba3611d892e2080020a0f4c9,50.7333330,-121.3166670,Kamloops Division Yale Land District,British Columbia,50000,1998-09-18,Indigenous and Northern Affairs Canada
