Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Avg
1861,6.4,6.9,10.3,14.1,16.7,999.9,22.7,23.9,20.7,17.8,14.1,6.8,999.9
1862,6.3,7.1,11.4,15.4,19.3,23.2,23.1,22.3,19.2,15.3,12.9,6.7,15.2
1863,4.6,3.9,999.9,12.6,20.2,21.4,999.9,999.9,999.9,999.9,14.7,8.8,999.9
1864,5,9,13.4,15.4,20.1,21.9,23.1,23.7,22.8,23.1,18.9,10.2,17.2
1865,10.9,10.3,15,14.9,18.7,999.9,999.9,999.9,999.9,999.9,999.9,10.3,999.9
1866,7.6,9.8,13.4,15.9,20.9,21.1,25,24.5,23.2,20,13.7,10.7,17.2
1867,9.2,8.2,14.1,16.8,20.7,22.9,21.7,24.6,23.5,21.4,15.6,10.4,17.4
1868,8.7,5.9,12,13.2,21.9,22.9,23.2,23.3,22.3,24.4,13.2,10,16.8
1869,8.3,8.6,12.7,14.3,20.5,25.9,22.8,25.7,22.9,21.8,15.8,11.9,17.6
1870,11.2,11.1,14.1,11.6,23,21.1,22.8,24.2,21.4,17,16.3,11.3,17.1
1871,9.7,7.4,10.1,16,20.2,20.2,20.9,21.8,17.9,17.1,14,11.3,15.6
1872,8.6,8.1,13.6,15.4,19,21.5,22.9,23.6,24.4,19.9,15.5,10.6,16.9
1873,9.2,10.4,12.3,18.4,23.4,21.2,22.6,24.6,22.9,19.9,14.9,8.9,17.4
1874,6.1,6.4,6.7,15.9,22.1,21.6,23.2,21.6,21.9,20.1,18.3,14.8,16.6
1875,5.1,8.4,8.7,13.8,17.6,21.7,22.4,22,19.3,18.7,13,9.2,15
1876,999.9,999.9,999.9,999.9,999.9,999.9,22.1,22.9,23.2,19.8,13.7,12.4,999.9
1877,8.4,9.1,14.3,19.1,22.5,22.8,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1878,6.9,6.1,11.9,17.4,19.2,23.1,27,25.3,23.1,19.6,18.2,14.4,17.7
1879,10.5,11.5,11.4,19.6,20.7,24.6,25.9,24.3,22.8,19.3,15.3,11.3,18.1
1880,4.9,7.9,10.6,15.4,19.7,23.9,23.9,24.5,23.1,21.8,15.9,7.7,16.6
1881,10.5,8.7,11.5,17.2,20,25,23.7,26.8,23.9,19.9,13.9,9.1,17.5
1882,6.5,5.8,12.5,16,18.2,22,23.7,24.8,24.3,19.1,15.3,11.6,16.7
1883,8.4,7.8,12.7,15.1,19.7,23,23.8,24.5,23.7,21.2,14.4,9.5,17
1884,6.5,6.8,10.9,17.4,19.1,22.7,22.6,24.3,20.7,19.9,13.7,11.3,16.3
1885,7.6,9.7,13.1,14.4,21.9,22,23.4,24.3,23,20.7,15.5,10.4,17.2
1886,8,8.8,9.7,14,17.6,23.4,22.6,24.1,22.4,20.8,11.9,8.4,16
1887,5.8,8.7,11.2,17.1,18.1,22.8,24.2,24.9,22.5,23.7,14.8,8.5,16.9
1888,6.3,10.4,14.7,16.1,18.4,22.2,27.3,25.1,23.9,22.8,10.7,8.9,17.2
1889,7.9,9.7,14.5,16.2,20.9,23.2,25.6,25.4,22.6,21.5,12.3,8.3,17.3
1890,4.3,7.5,13.2,16.2,20.7,23.4,26.7,27.4,22.7,21.1,15.5,9.6,17.4
1891,7.7,6.8,11.5,16.8,20.8,22.8,24.6,25.7,23.1,20.7,15.1,9.9,17.1
1892,8.2,10,12.6,17.5,19.8,22.7,23.7,24.4,25.2,22.2,14.2,10,17.5
1893,8,7.9,10.6,13.2,19,23.8,26.3,23.3,21.5,18.8,15.8,8.6,16.4
1894,5.7,6.9,10.4,12.8,19.2,23,23.7,22.4,21.6,20.7,12.3,8.9,15.6
1895,7.2,10.1,10.5,16.3,20.6,21.6,24.7,24.2,21.7,17.7,13.4,10.8,16.6
1896,6.6,7.4,10,14.3,19.6,22.1,24.4,26.8,23.3,22.2,16.1,13.1,17.2
1897,8.4,8.3,10.9,15.5,18.9,21.1,24.8,22.7,25.5,20.3,10.6,7.9,16.2
1898,5,8.8,11.5,16.8,19.4,23.4,23.7,22.9,22.2,23.3,15.7,9.8,16.9
